execution_id,order_id,deal_id,wave_id,exchange_trade_id,execution_time,exchange_execution_id,executed_price,executed_size,fees,fees_currency,adapter_id,strategy_id,account_id,exchange_order_id,symbol,side,order_price,order_size,ccy_1,ccy_2,ccy2_src,underlying_index,underlying_index_src,hedge_id
1,1,621,34040,,"2018-11-22 13:13:33",2,5.514,4.0,0.00217628,ETC,OKEXFUTURE_ADAPTER,MANUAL-621,0,1845258712730624,ETC1123,SELL,0.0,5.0,0.0,0.0,,5.52862189,OKEXFUTURE_ADAPTER.etc_usd,1130
2,2,621,34040,,"2018-11-22 13:13:34",5,5.51,3.0,0.00163339,ETC,OKEXFUTURE_ADAPTER,MANUAL-621,0,1845258753494016,ETC1228,BUY,0.0,4.99365252,0.0,0.0,,5.52862189,OKEXFUTURE_ADAPTER.etc_usd,1130
3,1,621,34040,,"2018-11-22 13:13:34",3,5.51299985,1.0,0.00054417,ETC,OKEXFUTURE_ADAPTER,MANUAL-621,0,1845258712730624,ETC1123,SELL,0.0,5.0,0.0,0.0,,5.52862189,OKEXFUTURE_ADAPTER.etc_usd,1130
4,2,621,34040,,"2018-11-22 13:13:54",6,5.51,2.0,0.00036298,ETC,OKEXFUTURE_ADAPTER,MANUAL-621,0,1845258753494016,ETC1228,BUY,0.0,4.99365252,0.0,0.0,,5.53108442,OKEXFUTURE_ADAPTER.etc_usd,1130
5,3,623,34041,,"2018-11-23 00:45:17",10,5.246,10.0,0.00571864,ETC,OKEXFUTURE_ADAPTER,MANUAL-623,0,1847978728297472,ETC1123,BUY,0.0,10.0,0.0,0.0,,5.23265397,OKEXFUTURE_ADAPTER.etc_usd,1120
6,4,623,34041,,"2018-11-23 00:45:20",12,5.24,10.0,0.0019084,ETC,OKEXFUTURE_ADAPTER,MANUAL-623,0,1847978871920640,ETC1130,SELL,0.0,10.03243037,0.0,0.0,,5.23265397,OKEXFUTURE_ADAPTER.etc_usd,1120
7,5,624,34042,,"2018-11-23 00:46:21",14,5.234,2.0,0.00114635,ETC,OKEXFUTURE_ADAPTER,MANUAL-624,0,1847982894623744,ETC1123,BUY,0.0,2.0,0.0,0.0,,5.23351662,OKEXFUTURE_ADAPTER.etc_usd,1120
8,6,624,34042,,"2018-11-23 00:46:22",16,5.228,2.0,0.00114767,ETC,OKEXFUTURE_ADAPTER,MANUAL-624,0,1847982959893504,ETC1130,SELL,0.0,2.0091866,0.0,0.0,,5.23351662,OKEXFUTURE_ADAPTER.etc_usd,1120
9,7,625,34043,,"2018-11-23 01:29:52",18,4207.43,24.0,0.00017113,BTC,OKEXFUTURE_ADAPTER,strategy-625,0,1848153986536449,BTC1123,SELL,0.0,30.0,0.0,0.0,,4206.8725,OKEXFUTURE_ADAPTER.btc_usd,1010
10,8,625,34043,,"2018-11-23 01:29:52",20,4186.5,30.0,0.00021498,BTC,OKEXFUTURE_ADAPTER,strategy-625,0,1848154036253696,BTC1228,BUY,0.0,30.0,0.0,0.0,,4206.8725,OKEXFUTURE_ADAPTER.btc_usd,1010
